Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712917109.595965 [2004321434] 0.0012 82307 1.0 0
1 1.1335129737854004 "[2004321434, 2004321434]" 0.0024 82307 1.0 0
2 2.514730930328369 "[2004321434, 2004321434, 2004321434]" 0.0036 82307 1.0 0
3 4.615240097045898 "[20043214, 2004321434, 2004321434, 2004321434]" 0.0049 82307 1.0 0
4 7.564160108566284 "[20043214, 20043214, 2004321434, 2004321434, 2004321434]" 0.0061 82307 1.0 0
5 11.071544170379639 "[20043214, 20043214, 20043214, 2004321434, 2004321434, 2004321434]" 0.0073 82307 1.0 0
6 15.534002304077148 "[200432, 20043214, 20043214, 20043214, 2004321434, 2004321434, 2004321434]" 0.0085 82307 1.0 0
7 20.750396251678467 "[200432, 200432, 20043214, 20043214, 20043214, 2004321434, 2004321434, 2004321434]" 0.0097 82307 1.0 0
8 26.42138409614563 "[200432, 200432, 200432, 20043214, 20043214, 20043214, 2004321434, 2004321434, 2004321434]" 0.0109 82307 1.0 0
9 33.98724031448364 "[2004, 200432, 200432, 200432, 20043214, 2004326, 2004328, 20043214, 20043214, 2004321434, 2004321434, 2004321434]" 0.0146 82307 1.0 0
10 43.58452820777893 "[2004, 2004, 200432, 200432, 200432, 2004326, 2004328, 20043214, 2004326, 2004328, 20043214, 20043214, 2004321434, 2004321434, 2004321434]" 0.0182 82307 1.0 0
11 47.452205181121826 "[2004, 2004, 2004, 200432, 200432, 200432, 2004326, 2004328, 20043214, 2004326, 2004328, 20043214, 20043214, 2004321434, 2004321434, 2004321434]" 0.0182 82307 1.0 0
0 1712917160.728771 [2004321364] 0.0012 82307 0.9 0
1 1.027195930480957 "[200432136, 2004321364]" 0.0024 82307 0.9 0
2 2.3964900970458984 "[200432136, 200432136, 2004321364]" 0.0036 82307 0.9 0
3 4.440701961517334 "[200432136, 200432136, 200432136, 2004321364]" 0.0049 82307 0.9 0
4 7.145458936691284 "[200432136, 200432136, 200432136, 2004321364]" 0.0049 82307 0.9 0
5 9.850812911987305 "[200432, 200432136, 200432136, 200432136, 2004321364]" 0.0061 82307 0.9 0
6 13.379319190979004 "[200432, 200432, 200432136, 200432136, 200432136, 2004321364]" 0.0073 82307 0.9 0
7 17.828984022140503 "[200432, 200432, 200432, 200432136, 200432136, 200432136, 2004321364]" 0.0085 82307 0.9 0
8 23.564409971237183 "[2004, 200432, 200432, 200432, 200432136, 2004326, 2004328, 200432136, 200432136, 2004321364]" 0.0121 82307 0.9 0
9 31.893896102905273 "[2004, 2004, 200432, 200432, 200432, 2004326, 2004328, 200432136, 2004326, 2004328, 200432136, 200432136, 2004321364]" 0.0158 82307 0.9 0
10 35.46065592765808 "[2004, 2004, 2004, 200432, 200432, 200432, 2004326, 2004328, 200432136, 2004326, 2004328, 200432136, 200432136, 2004321364]" 0.0158 82307 0.9 0
0 1712917199.464837 [2004328] 0.0012 82307 0.8 0
1 1.5263659954071045 "[200432, 2004328, 20043282, 20043284]" 0.0049 82307 0.8 0
2 4.771371126174927 "[200432, 200432, 20043282, 20043284, 2004328, 20043282, 20043284]" 0.0085 82307 0.8 0
3 10.367541074752808 "[200432, 200432, 200432, 20043282, 20043284, 2004328, 20043282, 20043284]" 0.0097 82307 0.8 0
4 17.35295295715332 "[200432, 200432, 200432, 20043282, 20043284, 2004328, 2004326, 2004328, 20043282, 20043284]" 0.0121 82307 0.8 0
5 25.940544843673706 "[2004, 200432, 200432, 200432, 20043282, 20043284, 2004326, 2004328, 2004326, 2004328, 20043282, 20043284]" 0.0146 82307 0.8 0
6 36.59329009056091 "[2004, 2004, 200432, 200432, 200432, 20043282, 20043284, 2004326, 2004328, 2004326, 2004328, 20043266, 20043268, 20043282, 20043284]" 0.0182 82307 0.8 0
7 49.70866894721985 "[2004, 2004, 200432, 200432, 200432, 20043266, 20043268, 20043282, 20043284, 2004326, 2004328, 2004326, 2004328, 20043266, 20043268, 20043282, 20043284]" 0.0207 82307 0.8 0
8 54.18825602531433 "[2004, 2004, 2004, 200432, 200432, 200432, 20043266, 20043268, 20043282, 20043284, 2004326, 2004328, 2004326, 2004328, 20043266, 20043268, 20043282, 20043284]" 0.0207 82307 0.8 0
0 1712917257.8466299 [20043182442412] 0.0012 82307 0.7 0
1 1.0485291481018066 "[200431824424, 20043182442412]" 0.0024 82307 0.7 0
2 2.504923105239868 "[200431824424, 20043182442412]" 0.0024 82307 0.7 0
3 3.94183611869812 "[200431824424, 200431824424, 20043182442412]" 0.0036 82307 0.7 0
4 6.071826219558716 "[200431824424, 200431824424, 200431824424, 20043182442412]" 0.0049 82307 0.7 0
5 9.49567723274231 "[200431824424, 200431824424, 200431824424, 20043182442412, 2004318244246, 2004318244248]" 0.0073 82307 0.7 0
6 14.254419326782227 "[20043182442, 200431824424, 200431824424, 200431824424, 2004318244246, 2004318244248, 20043182442412, 2004318244246, 2004318244248]" 0.0109 82307 0.7 0
7 21.039231300354004 "[20043182442, 200431824424, 200431824424, 200431824424, 2004318244246, 2004318244248, 20043182442412, 2004318244246, 2004318244248]" 0.0109 82307 0.7 0
