Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1712134003.554113 "[100422992, 100422992]" 0.0030 66735 1.0 0
2 1712134004.554113 "[100422, 100422992, 100422992]" 0.0045 66735 1.0 0
3 1712134005.554113 "[100422, 100422, 100422992, 100422992]" 0.0060 66735 1.0 0
4 1712134006.554113 "[100422, 100422, 100422, 100422992, 100422992]" 0.0075 66735 1.0 0
5 1712134007.554113 "[10042, 100422, 100422, 100422, 100422992, 100422992]" 0.0090 66735 1.0 0
6 1712134008.554113 "[10042, 10042, 100422, 100422, 100422, 100422992, 100422992]" 0.0105 66735 1.0 0
7 1712134009.554113 "[10042, 10042, 10042, 100422, 100422, 100422, 100422992, 100422992]" 0.0120 66735 1.0 0
8 1712134010.554113 "[1004, 10042, 10042, 10042, 100422, 100422, 100422, 100422992, 100422992]" 0.0120 66735 1.0 0
1 1712134036.886945 "[10045234, 10045234]" 0.0030 66735 0.9 0
2 1712134037.886945 "[10045234, 10045234, 10045234]" 0.0045 66735 0.9 0
3 1712134038.886945 "[100452, 10045234, 10045234, 10045234, 100452346]" 0.0075 66735 0.9 0
4 1712134039.886945 "[100452, 100452, 10045234, 10045234, 10045234, 100452346, 100452344, 100452346]" 0.0120 66735 0.9 0
5 1712134040.886945 "[100452, 100452, 100452, 10045234, 10045234, 10045234, 100452344, 100452346, 100452344, 100452346]" 0.0150 66735 0.9 0
6 1712134041.886945 "[1004, 100452, 100452, 100452, 10045234, 10045234, 10045234, 100452344, 100452346, 100452344, 100452346]" 0.0150 66735 0.9 0
1 1712134065.5738409 [100451644242] 0.0015 66735 0.8 0
2 1712134066.5738409 "[100451644242, 100451644242]" 0.0030 66735 0.8 0
3 1712134067.5738409 "[100451644242, 100451644242]" 0.0030 66735 0.8 0
4 1712134068.5738409 "[10045164424, 100451644242, 100451644242]" 0.0045 66735 0.8 0
5 1712134069.5738409 "[10045164424, 10045164424, 100451644242, 100451644242]" 0.0060 66735 0.8 0
6 1712134070.5738409 "[10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0075 66735 0.8 0
7 1712134071.5738409 "[10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0075 66735 0.8 0
8 1712134072.5738409 "[10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0075 66735 0.8 0
9 1712134073.5738409 "[1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0090 66735 0.8 0
10 1712134074.5738409 "[1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0105 66735 0.8 0
11 1712134075.5738409 "[1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0120 66735 0.8 0
12 1712134076.5738409 "[100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0135 66735 0.8 0
13 1712134077.5738409 "[100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0150 66735 0.8 0
14 1712134078.5738409 "[100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0165 66735 0.8 0
15 1712134079.5738409 "[10045164, 100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0180 66735 0.8 0
16 1712134080.5738409 "[10045164, 100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0180 66735 0.8 0
17 1712134081.5738409 "[10045164, 10045164, 100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0195 66735 0.8 0
18 1712134082.5738409 "[10045164, 10045164, 100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0195 66735 0.8 0
19 1712134083.5738409 "[10045164, 10045164, 10045164, 100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0210 66735 0.8 0
20 1712134084.5738409 "[1004516, 10045164, 10045164, 10045164, 100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0225 66735 0.8 0
21 1712134085.5738409 "[1004516, 1004516, 10045164, 10045164, 10045164, 100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0240 66735 0.8 0
22 1712134086.5738409 "[1004516, 1004516, 1004516, 10045164, 10045164, 10045164, 100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0255 66735 0.8 0
23 1712134087.5738409 "[1004, 1004516, 1004516, 1004516, 10045164, 10045164, 10045164, 100451644, 100451644, 100451644, 1004516442, 1004516442, 1004516442, 10045164424, 10045164424, 10045164424, 100451644242, 100451644242]" 0.0255 66735 0.8 0
1 1712134253.212003 "[1004, 100451752]" 0.0015 66735 0.7 0
1 1712134255.469606 "[1004534, 100453496]" 0.0030 66735 0.6 0
2 1712134256.469606 "[1004534, 1004534, 100453496]" 0.0045 66735 0.6 0
3 1712134257.469606 "[1004534, 1004534, 100453496]" 0.0045 66735 0.6 0
4 1712134258.469606 "[1004534, 1004534, 1004534, 100453496]" 0.0060 66735 0.6 0
5 1712134259.469606 "[1004, 1004534, 1004534, 1004534, 100453496]" 0.0060 66735 0.6 0
1 1712134271.486767 [1004229642] 0.0015 66735 0.5 0
2 1712134272.486767 "[100422964, 1004229642]" 0.0030 66735 0.5 0
3 1712134273.486767 "[100422964, 1004229642]" 0.0030 66735 0.5 0
4 1712134274.486767 "[100422964, 100422964, 1004229642]" 0.0045 66735 0.5 0
5 1712134275.486767 "[100422964, 100422964, 100422964, 1004229642]" 0.0060 66735 0.5 0
6 1712134276.486767 "[10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0075 66735 0.5 0
7 1712134277.486767 "[10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0075 66735 0.5 0
8 1712134278.486767 "[10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0090 66735 0.5 0
9 1712134279.486767 "[10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0105 66735 0.5 0
10 1712134280.486767 "[100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0120 66735 0.5 0
11 1712134281.486767 "[100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0120 66735 0.5 0
12 1712134282.486767 "[100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0120 66735 0.5 0
13 1712134283.486767 "[100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0120 66735 0.5 0
14 1712134284.486767 "[100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0135 66735 0.5 0
15 1712134285.486767 "[100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0135 66735 0.5 0
16 1712134286.486767 "[100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0150 66735 0.5 0
17 1712134287.486767 "[100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0150 66735 0.5 0
18 1712134288.486767 "[100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0150 66735 0.5 0
19 1712134289.486767 "[10042, 100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0165 66735 0.5 0
20 1712134290.486767 "[10042, 10042, 100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0180 66735 0.5 0
21 1712134291.486767 "[10042, 10042, 100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0180 66735 0.5 0
22 1712134292.486767 "[10042, 10042, 100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0180 66735 0.5 0
23 1712134293.486767 "[10042, 10042, 100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0180 66735 0.5 0
24 1712134294.486767 "[10042, 10042, 10042, 100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0195 66735 0.5 0
25 1712134295.486767 "[1004, 10042, 10042, 10042, 100422, 100422, 100422, 10042296, 10042296, 10042296, 100422964, 100422964, 100422964, 1004229642]" 0.0195 66735 0.5 0
1 1712134462.997149 "[10042268242, 10042268242]" 0.0030 66735 0.4 0
2 1712134463.997149 "[10042268242, 10042268242]" 0.0030 66735 0.4 0
3 1712134464.997149 "[1004226824, 10042268242, 10042268242]" 0.0045 66735 0.4 0
4 1712134465.997149 "[1004226824, 10042268242, 10042268242]" 0.0045 66735 0.4 0
5 1712134466.997149 "[1004226824, 1004226824, 10042268242, 10042268242]" 0.0060 66735 0.4 0
6 1712134467.997149 "[1004226824, 1004226824, 10042268242, 10042268242]" 0.0060 66735 0.4 0
7 1712134468.997149 "[1004226824, 1004226824, 10042268242, 10042268242]" 0.0060 66735 0.4 0
8 1712134469.997149 "[1004226824, 1004226824, 1004226824, 10042268242, 10042268242]" 0.0075 66735 0.4 0
9 1712134470.997149 "[1004226824, 1004226824, 1004226824, 10042268242, 10042268242]" 0.0075 66735 0.4 0
10 1712134471.997149 "[1004226824, 1004226824, 1004226824, 10042268242, 10042268242]" 0.0075 66735 0.4 0
11 1712134472.997149 "[1004226824, 1004226824, 1004226824, 10042268242, 10042268242]" 0.0075 66735 0.4 0
12 1712134473.997149 "[1004226824, 1004226824, 1004226824, 10042268242, 10042268242]" 0.0075 66735 0.4 0
